epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.188,2.58003,4.03518,1.99892,0.00728,0.39095,0.05379,0.01867,2.20279,4.0103,1.6903,0.000272428,0.000272428,0.000272428
2,758.501,1.95054,3.0989,1.59046,0.68122,0.17805,0.18016,0.07546,2.05506,3.06579,1.7274,0.000539202,0.000539202,0.000539202
3,1166.6,1.80531,2.51115,1.51607,0.26424,0.29885,0.21184,0.09217,1.99679,2.94845,1.71207,0.000794982,0.000794982,0.000794982
4,1390.95,1.73554,2.26278,1.48307,0.29072,0.34316,0.28572,0.13253,1.84036,2.67087,1.63269,0.00078352,0.00078352,0.00078352
5,1526.67,1.68418,2.13087,1.44743,0.35534,0.40401,0.36437,0.18045,1.75749,2.22273,1.52369,0.000767026,0.000767026,0.000767026
6,1661.13,1.62692,1.99988,1.40713,0.43792,0.46479,0.42626,0.20946,1.69893,2.0928,1.48624,0.000750533,0.000750533,0.000750533
7,1796.3,1.58771,1.88447,1.38428,0.43528,0.3933,0.42199,0.20431,1.66818,2.06679,1.48607,0.00073404,0.00073404,0.00073404
8,1936.68,1.5393,1.78403,1.35953,0.49858,0.50282,0.48231,0.25062,1.59923,1.92482,1.41526,0.000717546,0.000717546,0.000717546
9,2076.74,1.52082,1.74798,1.33686,0.52865,0.57024,0.534,0.27601,1.57323,1.8682,1.42266,0.000701053,0.000701053,0.000701053
10,2215.41,1.49564,1.69721,1.3413,0.54059,0.50669,0.50046,0.26424,1.57896,1.8531,1.41201,0.000684559,0.000684559,0.000684559
11,2354.6,1.47005,1.66317,1.31628,0.57044,0.55669,0.56227,0.29621,1.52181,1.75584,1.37681,0.000668066,0.000668066,0.000668066
12,2494.46,1.4421,1.59236,1.30019,0.53426,0.58266,0.55885,0.30653,1.4856,1.70712,1.3681,0.000651573,0.000651573,0.000651573
13,2630.04,1.43671,1.55453,1.30526,0.59064,0.55974,0.57858,0.31157,1.47687,1.68382,1.3375,0.000635079,0.000635079,0.000635079
14,2765.02,1.42439,1.54695,1.28969,0.57936,0.60728,0.60163,0.33489,1.4646,1.62742,1.33795,0.000618586,0.000618586,0.000618586
15,2901.62,1.39386,1.49351,1.27194,0.60839,0.59199,0.59634,0.33619,1.42037,1.6101,1.33761,0.000602092,0.000602092,0.000602092
16,3040.21,1.38344,1.46295,1.26284,0.63143,0.58672,0.60646,0.34031,1.44518,1.56702,1.3501,0.000585599,0.000585599,0.000585599
17,3177.66,1.38356,1.45464,1.26238,0.62965,0.6205,0.6337,0.36115,1.38211,1.49786,1.30605,0.000569106,0.000569106,0.000569106
18,3316.46,1.37241,1.42644,1.25451,0.62571,0.64418,0.65555,0.3809,1.3827,1.45085,1.2859,0.000552612,0.000552612,0.000552612
19,3454.25,1.33972,1.35663,1.24639,0.65653,0.69269,0.69583,0.40832,1.33724,1.38107,1.27735,0.000536119,0.000536119,0.000536119
20,3592.59,1.34389,1.36287,1.24137,0.66339,0.65149,0.66399,0.3707,1.45742,1.47535,1.32211,0.000519625,0.000519625,0.000519625
21,3730.19,1.33528,1.35185,1.23911,0.67196,0.67108,0.68554,0.40185,1.34182,1.36834,1.26517,0.000503132,0.000503132,0.000503132
22,3867.43,1.30389,1.31602,1.22692,0.68771,0.67823,0.69959,0.41621,1.35759,1.36101,1.27891,0.000486639,0.000486639,0.000486639
23,4005.23,1.29847,1.29955,1.22032,0.69629,0.68609,0.70752,0.42478,1.31148,1.32823,1.26122,0.000470145,0.000470145,0.000470145
24,4143.29,1.27256,1.26786,1.21292,0.70049,0.70052,0.71964,0.43007,1.29994,1.31463,1.25817,0.000453652,0.000453652,0.000453652
25,4280.83,1.2828,1.24964,1.21609,0.69956,0.67677,0.70289,0.41766,1.35021,1.33925,1.28647,0.000437158,0.000437158,0.000437158
26,4417.82,1.27757,1.25443,1.21279,0.71107,0.70879,0.73238,0.44121,1.3049,1.27627,1.25193,0.000420665,0.000420665,0.000420665
27,4555.17,1.25984,1.22111,1.20567,0.73737,0.68634,0.73003,0.43123,1.35555,1.30876,1.29149,0.000404172,0.000404172,0.000404172
28,4693.4,1.254,1.21729,1.19913,0.73007,0.70342,0.73721,0.44507,1.27984,1.26015,1.25162,0.000387678,0.000387678,0.000387678
29,4831.17,1.25041,1.19779,1.20475,0.7283,0.69411,0.73118,0.43558,1.32684,1.24222,1.27534,0.000371185,0.000371185,0.000371185
30,4967.86,1.24858,1.1879,1.19575,0.73836,0.69214,0.73988,0.45728,1.283,1.21346,1.24628,0.000354691,0.000354691,0.000354691
31,5103.89,1.21988,1.16911,1.1745,0.73822,0.68967,0.73617,0.44137,1.30974,1.22806,1.25417,0.000338198,0.000338198,0.000338198
32,5238.98,1.22875,1.16741,1.17855,0.70461,0.74418,0.75438,0.47304,1.23115,1.21315,1.22035,0.000321705,0.000321705,0.000321705
33,5374.18,1.20528,1.13218,1.17085,0.74339,0.73245,0.76739,0.48459,1.24249,1.17689,1.2229,0.000305211,0.000305211,0.000305211
34,5530.6,1.20252,1.1238,1.16157,0.75102,0.75813,0.77516,0.48307,1.25145,1.1747,1.21236,0.000288718,0.000288718,0.000288718
35,5757.98,1.19908,1.14543,1.16924,0.75909,0.73838,0.77556,0.4845,1.24657,1.11334,1.22201,0.000272224,0.000272224,0.000272224
36,5895.49,1.19304,1.11604,1.17425,0.78577,0.75048,0.78717,0.49988,1.22471,1.11014,1.20536,0.000255731,0.000255731,0.000255731
37,6031.43,1.17465,1.09709,1.15495,0.77592,0.74429,0.78527,0.49958,1.22542,1.10378,1.19939,0.000239238,0.000239238,0.000239238
38,6167.49,1.16817,1.08771,1.16202,0.77214,0.74611,0.78888,0.51038,1.19081,1.07478,1.19312,0.000222744,0.000222744,0.000222744
39,6303.36,1.16269,1.06904,1.15145,0.77666,0.75537,0.7904,0.5051,1.2069,1.07943,1.19946,0.000206251,0.000206251,0.000206251
40,6439.7,1.17382,1.07569,1.15756,0.78532,0.76585,0.79848,0.51236,1.20247,1.06098,1.19445,0.000189757,0.000189757,0.000189757
41,6572.29,1.14774,1.08138,1.18383,0.78729,0.72081,0.78678,0.5054,1.19612,1.0805,1.19175,0.000173264,0.000173264,0.000173264
42,6718.13,1.11716,1.00776,1.15638,0.79016,0.76542,0.80939,0.51847,1.19556,1.05594,1.19023,0.000156771,0.000156771,0.000156771
43,6850.52,1.08964,0.98379,1.14249,0.78486,0.78299,0.81391,0.53042,1.19109,1.0411,1.18961,0.000140277,0.000140277,0.000140277
44,6989.9,1.09005,0.97525,1.14109,0.80623,0.76359,0.81444,0.53714,1.17429,1.02838,1.17922,0.000123784,0.000123784,0.000123784
45,7132.14,1.07113,0.97067,1.13242,0.7884,0.77843,0.81211,0.5335,1.1742,1.02063,1.1841,0.00010729,0.00010729,0.00010729
46,7269.38,1.07016,0.95564,1.12634,0.82205,0.7806,0.82506,0.54473,1.15736,1.00418,1.17759,9.0797e-05,9.0797e-05,9.0797e-05
47,7418,1.0537,0.93122,1.12702,0.82487,0.78697,0.82723,0.55161,1.14814,0.98732,1.17291,7.43036e-05,7.43036e-05,7.43036e-05
48,7550.44,1.05181,0.93265,1.12736,0.8265,0.77853,0.8296,0.55394,1.14123,0.98246,1.16891,5.78102e-05,5.78102e-05,5.78102e-05
49,7675.27,1.04254,0.9218,1.12098,0.8352,0.77426,0.83402,0.55443,1.14427,0.98219,1.16791,4.13168e-05,4.13168e-05,4.13168e-05
50,7801.35,1.02647,0.91141,1.11184,0.84236,0.79165,0.83553,0.55906,1.14084,0.97644,1.16539,2.48234e-05,2.48234e-05,2.48234e-05
